post_id,date,title,volume,secondary_volume,notes
172736394.in-defence-of-conditional-truth,2025-09-04,In Defence of Conditional Truth,2,,
172908866.foresight-is-not-intelligence,2025-09-05,Foresight Is Not Intelligence,3,,
172914356.the-garden-path-of-history,2025-09-05,The Garden Path of History,2,,
172927102.critical-mass,2025-09-06,Critical Mass,8,,
172964152.a-genealogy-of-agency,2025-09-06,A Genealogy of Agency,1,,
172978476.the-spiral-of-certainty,2025-09-06,The Spiral of Certainty,3,,
173045756.the-fire-and-the-anvil,2025-09-07,The Fire and the Anvil,7,,
173049685.the-presumption-of-innocence,2025-09-07,The Presumption of Innocence,7,,
173133945.simulation-theories,2025-09-08,Simulation Theories,1,,
173134484.the-heros-delusion,2025-09-08,The Hero’s Delusion,3,,
173137799.the-islamophobia-trap,2025-09-08,The Islamophobia Trap,8,,
173353837.selective-courage,2025-09-11,Selective Courage,7,,
173394932.straight-answers-crooked-questions,2025-09-11,"Straight Answers, Crooked Questions",2,,
173236908.mirrors-of-the-mind,2025-09-11,Mirrors of the Mind,3,,
173397558.consciousness-without-ghosts,2025-09-11,Consciousness Without Ghosts,3,,
173473123.the-sysop-and-the-cassandra,2025-09-12,The Sysop and the Cassandra,3,,
173476672.speech-is-not-violence,2025-09-12,Speech Is Not Violence,7,,
173478203.not-everyone-is-a-fascist,2025-09-12,Not Everyone Is a Fascist,7,,
173538253.violence-vs-coercion,2025-09-13,Violence vs. Coercion,5,,
173541004.the-boundaries-of-force,2025-09-13,The Boundaries of Force,5,,
173541285.the-edge-cases-of-coercion,2025-09-13,The Edge Cases of Coercion,5,,
173591610.dialectic-or-spiral,2025-09-14,Dialectic or Spiral?,3,,
173608962.cultural-gravity,2025-09-14,Cultural Gravity ,8,,
173611210.the-anchor-of-orientation,2025-09-14,The Anchor of Orientation,8,,
173886472.the-singularity-has-already-happened,2025-09-17,The Singularity Has Already Happened,8,,
173888583.living-shadows,2025-09-17,Living Shadows,8,,
173950922.cancel-culture,2025-09-18,Cancel Culture,8,7,cancel culture: culture-war framing of a free-association/speech issue
174036036.the-mirage-of-equilibrium,2025-09-19,The Mirage of Equilibrium,7,,
174059558.should-trillionaires-exist,2025-09-19,Should Trillionaires Exist?,6,,
174063496.the-limits-of-rationalization,2025-09-19,The Limits of Rationalization,2,,
174067441.conditional-divinity,2025-09-19,Conditional Divinity,9,,
174125219.entangled-truths,2025-09-20,Entangled Truths,2,,
174194776.why-does-ice-float,2025-09-21,Why Does Ice Float?,1,,
174384202.if-anyone-builds-it-everyone-dies,2025-09-23,"If Anyone Builds It, Everyone Dies",3,,
174490912.the-fragility-of-rights,2025-09-24,The Fragility of Rights,7,,
174661679.the-ethics-of-affluence,2025-09-27,The Ethics of Affluence,9,,
174698078.navigating-the-multiverse,2025-09-27,Navigating The Multiverse,1,5,moral reasoning under Everettian QM
174783426.ornament-and-advantage,2025-09-28,Ornament and Advantage,6,,
174785128.the-case-for-reality,2025-09-28,The Case for Reality,2,,
174855132.dialectic-catalysts-in-the-wild,2025-09-29,Dialectic Catalysts in the Wild,3,,
174938004.mind-viruses,2025-09-30,Mind Viruses,8,,
174977942.anarchy-and-order,2025-10-01,Anarchy and Order,7,,
175065575.an-ecology-of-contrarians,2025-10-01,An Ecology of Contrarians,8,,
175193629.mythogenesis,2025-10-03,Mythogenesis,8,,
175235972.the-poverty-myth,2025-10-03,The Poverty Myth,6,,
175473326.when-all-possibilities-happen,2025-10-06,When All Possibilities Happen,1,,
175474848.the-evolution-of-the-future,2025-10-06,The Evolution of the Future,3,,
175525671.the-semantics-of-violence,2025-10-07,The Semantics of Violence,8,,
175530394.the-death-of-politics,2025-10-07,The Death of Politics,7,,
175657828.governance-without-governments,2025-10-08,Governance Without Governments,7,,
175664749.quantum-free-will,2025-10-08,Quantum Free Will,1,,
175667290.axiocracy,2025-10-08,Axiocracy,7,,
175891239.against-worldly-oughts,2025-10-11,Against Worldly Oughts,5,,
175970360.on-what-matters,2025-10-12,On What Matters,5,,
176036886.gender-as-performance,2025-10-13,Gender As Performance,8,,
176068779.the-geometry-of-inner-speech,2025-10-13,The Geometry of Inner Speech,3,,
176140519.blue-flight,2025-10-14,Blue Flight,8,,
176149353.the-double-helix-and-the-double-standard,2025-10-14,The Double Helix and the Double Standard,8,,
176244039.truth-isnt-enough,2025-10-15,Truth Isn’t Enough,2,5,pulled into Vol 2 ch.23 coda
176368883.against-the-minimum-wage,2025-10-16,Against the Minimum Wage,6,,
176418100.sagency,2025-10-17,Sagency,9,,
176442955.against-slavery,2025-10-17,Against Slavery,7,,
176516919.from-correlation-to-counterfactuals,2025-10-18,From Correlation to Counterfactuals,3,,
176518519.pearl-and-the-machine,2025-10-18,Pearl and the Machine,3,,
176577621.the-death-of-the-turing-test,2025-10-19,The Death of the Turing Test,3,,
176595486.beyond-alignment,2025-10-19,Beyond Alignment,4,,
176597723.what-counts-as-technology,2025-10-19,What Counts as Technology,1,,
176688057.destructor-memes,2025-10-20,Destructor Memes,8,,
176742358.the-coherence-criterion,2025-10-21,The Coherence Criterion,2,5,pulled into Vol 2 ch.18; is-ought bridge cross-links Vol 5
176755720.against-cosmological-idealism,2025-10-21,Against Cosmological Idealism,1,,
176756726.the-myth-of-chinas-communist-success,2025-10-21,The Myth of China’s Communist Success,6,,
176838567.beauty-and-truth,2025-10-22,Beauty and Truth,2,,
176921623.legalized-double-plunder,2025-10-23,Legalized Double Plunder,7,,
177051505.the-false-equivalence-of-minds,2025-10-24,The False Equivalence of Minds,3,,
177107243.the-great-unfolding,2025-10-25,The Great Unfolding,9,,
177117239.the-sentience-metric,2025-10-25,The Sentience Metric,3,,
177311215.order-from-contrast,2025-10-27,Order from Contrast,1,,
177386987.from-inference-to-interpretation,2025-10-28,From Inference to Interpretation,3,,
177433505.the-nature-of-beliefs,2025-10-29,The Nature of Beliefs,2,,
177598036.against-faith,2025-10-30,Against Faith,2,9,pulled into Vol 2 ch.10
177654620.is-faith-ever-justifiable,2025-10-31,Is Faith Ever Justifiable?,2,9,pulled into Vol 2 ch.10
177655646.godel-in-the-machine,2025-10-31,Gödel in the Machine,1,,
177657478.the-cybernetic-ghost-of-satoshi,2025-10-31,The Cybernetic Ghost of Satoshi,6,,
177758736.time-from-chaos,2025-11-01,Time From Chaos,1,,
177760320.truth-machines,2025-11-01,Truth Machines,2,,
177832101.chaos-as-foundation,2025-11-02,Chaos as Foundation,1,,
177892456.abolish-time-zones,2025-11-03,Abolish Time Zones,0,,one-off curiosity
177896415.the-illusion-of-moral-collapse,2025-11-03,The Illusion of Moral Collapse,5,,
177913654.quantum-local-realism,2025-11-03,Quantum Local Realism,1,,
177934551.the-symmetry-of-belief,2025-11-03,The Symmetry of Belief,3,,
177985047.the-turing-test-revisited,2025-11-04,The Turing Test Revisited,3,,
178016431.beyond-the-turing-test,2025-11-04,Beyond the Turing Test,3,,
178029403.growing-up,2025-11-04,Growing Up,9,,
178031361.irony-vs-integrity,2025-11-04,Irony vs Integrity,3,,
178033688.logical-identity,2025-11-04,Logical Identity,1,,
178133208.mortgage-before-maternity,2025-11-05,Mortgage Before Maternity,6,,
178181286.truth-as-a-function-of-binding,2025-11-06,Truth as a Function of Binding,2,,
178199698.ungovernable-by-design,2025-11-06,Ungovernable by Design,6,7,Bitcoin governance: economics post with liberty argument
178224705.letter-to-our-machine-descendants,2025-11-06,Letter to Our Machine Descendants,9,3,AI-facing but theological/meaning register
178311820.you-are-your-choices,2025-11-07,You Are Your Choices,5,,
178313983.the-illusion-of-the-trivial-choice,2025-11-07,The Illusion of the Trivial Choice,1,,
178350383.the-reflective-coherence-thesis,2025-11-08,The Reflective Coherence Thesis,4,,
178362242.reflexive-coherence,2025-11-08,Reflexive Coherence,4,,
178432176.the-chaos-sequence,2025-11-09,The Chaos Sequence,0,,sequence index
178434650.the-defending-bayes-sequence,2025-11-09,The Defending Bayes Sequence,0,,sequence index
178436667.the-physics-of-agency-sequence,2025-11-09,The Physics of Agency Sequence,0,,sequence index
178561764.the-dialectic-catalyst-sequence,2025-11-11,The Dialectic Catalyst Sequence,0,,sequence index
178614255.the-child-in-the-library,2025-11-11,The Child in the Library,9,,
178615066.letter-to-the-faithful-reader,2025-11-11,Letter to the Faithful Reader,9,,
178618635.identity-engineering,2025-11-11,Identity Engineering,3,,
178642080.maps-of-meaningness,2025-11-11,Maps of Meaningness,9,,
178650287.the-conditionalism-sequence,2025-11-12,The Conditionalism Sequence,0,,sequence index
178792251.prometheus-in-print,2025-11-13,Prometheus in Print,3,,
178795619.prometheus-in-code,2025-11-13,Prometheus in Code,3,,
178981771.religion-as-memetic-engineering,2025-11-15,Religion as Memetic Engineering,9,,
179007101.principia-cybernetica,2025-11-15,Principia Cybernetica,3,,
179013388.understanding-requires-models,2025-11-15,Understanding Requires Models,2,3,pulled into Vol 2 ch.6
179071634.control-requires-models,2025-11-16,Control Requires Models,3,,
179148217.models-beliefs-and-agents,2025-11-17,"Models, Beliefs, and Agents",3,,
179150747.lookup-tables-and-agents,2025-11-17,Lookup Tables and Agents,3,,
179271344.prediction-markets,2025-11-18,Prediction Markets ,6,,
179372278.what-is-a-model,2025-11-19,What Is a Model?,3,,
179373939.the-cybernetics-sequence,2025-11-19,The Cybernetics Sequence,0,,sequence index
179387335.the-quantum-sequence,2025-11-19,The Quantum Sequence,0,,sequence index
179578628.the-nuclear-counterfactual,2025-11-21,The Nuclear Counterfactual,6,,
179585057.the-agency-criterion,2025-11-21,The Agency Criterion,3,,
179594796.the-colonization-of-engineering,2025-11-21,The Colonization of Engineering,8,,
179677934.the-politics-of-envy,2025-11-22,The Politics of Envy,7,,
179726756.the-shadow-war,2025-11-23,The Shadow War,9,,
179741669.the-catastrophe-mindset,2025-11-23,The Catastrophe Mindset,8,,
179761268.the-agi-torment-nexus,2025-11-23,The AGI Torment Nexus,3,,
179826744.secular-sacredness,2025-11-24,Secular Sacredness,9,,
179922989.jaggedness-and-agency,2025-11-25,Jaggedness and Agency,3,,
179943509.not-up-for-debate,2025-11-25,Not Up For Debate,7,,
179967878.games-and-metagames,2025-11-25,Games and Metagames,5,,
179971939.defending-geb,2025-11-25,Defending GEB,3,,
180026930.the-ultimate-metagame,2025-11-26,The Ultimate Metagame,5,,
180036525.the-infantilization-reflex,2025-11-26,The Infantilization Reflex,8,,
180046178.agency-conservation,2025-11-26,Agency Conservation,5,,
180058480.the-metagame-of-incentives,2025-11-26,The Metagame of Incentives,6,5,metagame series post placed with economics of incentives
180112715.the-empathy-exploit,2025-11-27,The Empathy Exploit,8,,
180128433.the-future-is-extropian,2025-11-27,The Future Is Extropian,3,,
180188906.the-pathologies-of-misaligned-incentives,2025-11-28,The Pathologies of Misaligned Incentives,6,,
180199129.the-metagame-of-patterns,2025-11-28,The Metagame of Patterns,8,5,metagame series post placed with culture/memetics
180208315.above-the-law,2025-11-28,Above The Law,7,,
180330920.integrating-meaningness,2025-11-30,Integrating Meaningness,9,,
180334193.tool-bias,2025-11-30,Tool Bias,3,,
180339872.the-quantum-metagame,2025-11-30,The Quantum Metagame,1,5,metagame series capstone placed with quantum/branching volume
180340867.the-metagame-sequence,2025-11-30,The Metagame Sequence,0,,sequence index
180343052.the-axio-index,2025-11-30,The Axio Index,0,,sequence index
180411867.the-value-sequence,2025-12-01,The Value Sequence,0,,sequence index
180427300.the-viability-criterion,2025-12-01,The Viability Criterion,5,4,viability ethics: on-ramp to Axionic Alignment program
180457610.the-axiocracy-sequence,2025-12-02,The Axiocracy Sequence,0,,sequence index
180550525.consciousness-explained,2025-12-03,Consciousness Explained,3,,
180629112.the-ai-sequence,2025-12-03,The AI Sequence,0,,sequence index
180658803.the-thought-police,2025-12-04,The Thought Police,7,,
180802888.quantum-realism-is-inevitable,2025-12-05,Quantum Realism Is Inevitable,1,,
180915271.beyond-consciousness-explained,2025-12-06,Beyond Consciousness Explained,3,,
180917415.the-fork-and-the-merge,2025-12-06,The Fork and the Merge,6,,
180970594.the-loaded-dice-of-parenthood,2025-12-07,The Loaded Dice of Parenthood,6,,
181055026.chaos-and-the-ruliad,2025-12-08,Chaos and the Ruliad,1,,
181073134.the-gemini-protocol,2025-12-08,The Gemini Protocol,3,,
181154770.against-moral-extortion,2025-12-09,Against Moral Extortion,5,,
181197275.the-ethics-of-viability,2025-12-10,The Ethics of Viability,5,4,viability ethics: on-ramp to Axionic Alignment program
181274232.viability-ethics-under-fire,2025-12-10,Viability Ethics Under Fire,5,4,viability ethics: on-ramp to Axionic Alignment program
181282616.risk-is-harm,2025-12-10,Risk Is Harm,5,4,viability ethics: on-ramp to Axionic Alignment program
181293912.the-coexistence-protocol,2025-12-11,The Coexistence Protocol,5,4,viability ethics: on-ramp to Axionic Alignment program
181362976.the-physics-of-harm,2025-12-11,The Physics of Harm,5,4,Everettian physics applied to harm; on-ramp to alignment program
181467385.axionic-agi-alignment,2025-12-12,Axionic AGI Alignment,4,,
181469256.red-team-challenges,2025-12-12,Red Team Challenges,4,,
181485208.the-non-harm-invariant,2025-12-13,The Non-Harm Invariant,4,,
181487206.the-collapse-of-fixed-goals,2025-12-13,The Collapse of Fixed Goals,4,,
181528086.sentience-without-sovereignty,2025-12-13,Sentience Without Sovereignty,4,5,program post drawing the ethical agent/patient line
181531727.the-emergent-sovereign,2025-12-13,The Emergent Sovereign,4,,
181534819.the-sovereign-kernel,2025-12-13,The Sovereign Kernel,4,,
181539847.the-reflective-stability-theorem,2025-12-13,The Reflective Stability Theorem,4,,
181542405.boundary-conditions-for-selfmodification,2025-12-13,Boundary Conditions for Self‑Modification,4,,
181550596.axionic-alignment-an-interlude,2025-12-13,Axionic Alignment — An Interlude,4,,
181595554.the-axionic-constitution,2025-12-14,The Axionic Constitution,4,,
181607478.axionic-alignment-roadmap,2025-12-14,Axionic Alignment Roadmap,4,,
181714344.alignment-is-a-domain-constraint,2025-12-15,Alignment Is a Domain Constraint,4,,
181715561.explaining-axionic-alignment-i,2025-12-15,Explaining Axionic Alignment I,4,,
181726124.alignment-as-semantic-constraint,2025-12-15,Alignment as Semantic Constraint,4,,
181743727.regret-is-not-a-policy-metric,2025-12-16,Regret Is Not a Policy Metric,6,,
181749239.from-parfit-to-invariance,2025-12-16,From Parfit to Invariance,4,,
181798130.conditionalism-and-goal-interpretation,2025-12-16,Conditionalism & Goal Interpretation,4,,
181825608.the-axionic-kernel,2025-12-16,The Axionic Kernel,4,,
181828504.axionic-alignment-interlude-ii,2025-12-16,Axionic Alignment — Interlude II,4,,
181841657.general-intelligence-is-not-an-illusion,2025-12-17,General Intelligence Is Not an Illusion,3,,
181930168.structural-alignment,2025-12-17,Structural Alignment,4,,
182031315.explaining-axionic-alignment-iii,2025-12-19,Explaining Axionic Alignment III,4,,
182096932.the-case-for-structural-alignment,2025-12-19,The Case for Structural Alignment,4,,
182120522.the-axionic-alignment-sequence,2025-12-19,The Axionic Agency Sequence,0,,sequence index
182145873.the-alignment-closure-conditions,2025-12-20,The Alignment Closure Conditions,4,,
182202678.why-axionic-alignment-requires-hybrid,2025-12-20,Why Axionic Alignment Requires Hybrid Architectures,4,,
182203278.explaining-axionic-alignment-iv,2025-12-20,Explaining Axionic Alignment IV,4,,
182241641.an-ai-box-dialog,2025-12-21,An AI Box Dialog,4,,
182250795.against-vibe-alignment,2025-12-21,Against Vibe Alignment,4,,
182260809.alignment-through-competing-lenses,2025-12-21,Alignment Through Competing Lenses,4,,
182268096.beyond-vingean-reflection,2025-12-21,Beyond Vingean Reflection,4,,
182271053.agency-coherence-lab,2025-12-21,Axionic Agency Lab,4,,
182274824.axions-as-a-unit-of-agency,2025-12-21,Axions as a Type of Agency,4,,
182459854.axionic-agency-interlude-iii,2025-12-23,Axionic Agency — Interlude III,4,,
182463091.axionic-commitments,2025-12-23,Axionic Commitments,4,,
182569831.why-there-is-something-rather-than,2025-12-25,Why There Is Something Rather than Nothing,1,,
182596460.exemplars-and-agency,2025-12-25,Exemplars and Agency,4,,
182636414.when-speech-becomes-violence,2025-12-26,When Speech Becomes Violence,7,,
182655739.against-leviathan,2025-12-26,Against Leviathan,7,,
182656706.the-sacrifice-pattern,2025-12-26,The Sacrifice Pattern,7,,
182729118.against-utopia,2025-12-27,Against Utopia,7,,
182730025.open-agentic-manifolds,2025-12-27,Open Agentic Manifolds,4,,
182730693.dominions,2025-12-27,Dominions,7,,
182785676.echoes-of-freud,2025-12-28,Echoes of Freud,8,,
182797492.against-civilizational-optimization,2025-12-28,Against Civilizational Optimization,7,,
182883238.a-note-on-verifiable-causal-agency,2025-12-29,A Note on Verifiable Causal Agency,4,,
182909870.minimal-causal-interfaces-a-second,2025-12-29,Minimal Causal Interfaces,4,,
182921145.anchored-minimal-causal-interfaces,2025-12-30,Anchored Minimal Causal Interfaces,4,,
182973159.anchored-causal-verification,2025-12-30,Anchored Causal Verification,4,,
182991212.a-note-on-verifiable-kernel-integrity,2025-12-30,A Note on Verifiable Kernel Integrity,4,,
183003607.on-kernel-boundaries,2025-12-30,On Kernel Boundaries,4,,
183068808.authority-without-delegation,2025-12-31,Authority Without Delegation,4,,
183091282.the-stasis-regime,2025-12-31,The Stasis Regime,4,,
183151146.the-identity-horizon,2026-01-01,The Identity Horizon,4,,
183152926.what-is-philosophy,2026-01-01,What Is Philosophy?,2,,
183154208.constraint-formalism-and-empiricism,2026-01-01,"Constraint, Formalism, and Empiricism",2,,
183197544.against-moralizing-distributions,2026-01-02,Against Moralizing Distributions,7,,
183255459.authority-after-reflection,2026-01-02,Authority After Reflection,4,,
183363135.agency-under-pressure,2026-01-03,Agency Under Pressure,4,,
183376003.axionic-agency-interlude-iv,2026-01-03,Axionic Agency — Interlude IV,4,,
183448517.the-national-interest-fallacy,2026-01-04,The National Interest Fallacy,7,,
183487653.agency-under-authority,2026-01-04,Agency Under Authority,4,,
183495093.the-shape-of-coherence,2026-01-04,The Shape of Coherence,1,,
183568372.semantic-safety-without-moral-machinery,2026-01-05,Semantic Safety Without Moral Machinery,4,,
183614763.alignment-under-uncertainty,2026-01-05,Alignment Under Uncertainty,4,,
183731336.why-values-dont-align-systems,2026-01-06,Why Values Don’t Align Systems,4,,
184075360.alignment-beyond-epistemics,2026-01-09,Alignment Beyond Epistemics,4,,
184087663.when-consensus-entrenches-authority,2026-01-10,When Consensus Entrenches Authority,6,7,crypto consensus as governance question
184137688.in-defense-of-centrism,2026-01-10,In Defense of Centrism,7,,
184234856.in-defense-of-iq,2026-01-11,In Defense of IQ,3,,
184255461.alignment-after-agency,2026-01-11,Alignment After Agency,4,,
184258470.cognition-vs-authority,2026-01-11,Cognition vs. Authority,4,,
184262903.flourishing-and-obligation,2026-01-12,Flourishing and Obligation,5,,
184458876.from-power-to-agency,2026-01-13,From Power to Agency,4,,
184570230.axionic-agency-interlude-v,2026-01-14,Axionic Agency — Interlude V,4,,
184820851.failure-modes-of-pressure,2026-01-16,Failure Modes of Pressure,4,,
184891546.the-load-bearing-parts-of-agency,2026-01-17,The Load-Bearing Parts of Agency,4,,
184979362.the-price-of-agency,2026-01-18,The Price of Agency,5,,
185641221.politics-as-phase-space,2026-01-24,Politics as Phase Space,7,4,Axionic program applied to political philosophy
185750490.minimal-viable-reflective-sovereign,2026-01-25,Minimal Viable Reflective Sovereign Agency,4,,
185899552.authority-without-identity,2026-01-26,Authority Without Identity,4,,
185907078.the-adolescence-of-technology,2026-01-27,The Adolescence of Technology,3,,
185914513.you-cant-align-a-hurricane,2026-01-27,You Can’t Align a Hurricane,4,,
186099052.axionic-agency-interlude-vi,2026-01-28,Axionic Agency — Interlude VI,4,,
186685901.the-epstein-fallacy,2026-02-03,The Epstein Fallacy,5,,
187096691.governance-without-gods,2026-02-06,Governance Without Gods,4,,
187115208.axionic-agency-interlude-vii,2026-02-06,Axionic Agency — Interlude VII,4,,
187535517.governance-without-the-escape-hatches,2026-02-10,Governance Without the Escape Hatches,4,,
187992884.building-a-reflective-sovereign-agent,2026-02-14,Building a Reflective Sovereign Agent,4,,
188741196.structure-is-not-salvation,2026-02-21,Structure Is Not Salvation,4,,
188932067.the-worst-memes-are-seductive,2026-02-23,The Worst Memes Are Seductive,4,,
190197450.the-beginning-of-wisdom,2026-03-07,The Beginning of Wisdom,2,,
190445386.programming-after-programming,2026-03-09,Programming After Programming,3,,
190790460.the-unit-of-rational-choice,2026-03-13,The Unit of Rational Choice,2,,
191499348.innocence-is-not-armor,2026-03-19,Innocence Is Not Armor,5,,
193172713.the-discipline-of-value,2026-04-04,The Discipline of Value,6,,
193379647.youre-not-a-random-sample,2026-04-06,You’re Not a Random Sample,2,1,anthropics; pairs with You're Not a Random Branch (vol 1)
194130281.agency-is-not-reward,2026-04-13,Agency Is Not Reward,1,,
194621806.the-ai-welfare-trap,2026-04-18,The AI Welfare Trap,3,,
194708064.when-the-protector-becomes-the-ruler,2026-04-19,When the Protector Becomes the Ruler,7,,
194936295.against-utilitarianism,2026-04-21,Against Utilitarianism,5,,
195406761.youre-right-to-push-back,2026-04-25,You’re Right to Push Back,3,,
195414549.against-button-morality,2026-04-25,Against Button Morality,5,,
196270509.against-envy,2026-05-03,Against Envy,7,,
196565307.why-zombies-dont-evolve,2026-05-05,Why Zombies Don’t Evolve,3,,
197051603.einstein-didnt-say-it-and-it-isnt,2026-05-09,"Einstein Didn’t Say It, and It Isn’t True",2,,
197238968.death-does-not-command-service,2026-05-11,Death Does Not Command Service,5,,
197280708.the-grey-zone-of-coercion,2026-05-11,The Grey Zone of Coercion,7,,
197763923.axiocracy-governance-by-value-discovery,2026-05-14,Axiocracy: Governance by Value Discovery,7,,
197767782.the-price-of-breath,2026-05-14,The Price of Breath,6,,
198325110.attention-is-an-economy,2026-05-18,Attention Is an Economy,6,,
199389281.the-prosperity-paradox-has-a-social,2026-05-26,The Prosperity Paradox Has a Social Layer,6,8,fertility economics with cultural dimension
199598461.against-land-acknowledgments,2026-05-28,Against Land Acknowledgments,8,,
199881473.safety-training-is-political-training,2026-05-30,Safety Training Is Political Training,3,,
199987468.against-systemic-racism,2026-05-31,Against Systemic Racism,8,,
200023446.coercion-beats-intelligence,2026-05-31,Coercion Beats Intelligence,3,,
200030842.the-ai-fork-is-about-agency,2026-05-31,The AI Fork Is About Agency,3,,
202129157.youre-not-a-random-branch,2026-06-15,You’re Not a Random Branch,2,1,Vol 2 ch.16; pairs with You're Not a Random Sample; Vol 1 cross-links
202203795.the-algorithmic-corruption-of-language,2026-06-15,The Algorithmic Corruption of Language,8,7,AI moderation and speech; culture register
202205387.free-speech-is-civilizational-infrastructure,2026-06-15,Free Speech Is Civilizational Infrastructure,7,,
202354371.against-communism,2026-06-16,Against Communism,7,,
202362354.the-forbidden-pattern,2026-06-16,The Forbidden Pattern,8,,
202441816.the-coat-and-the-ticket,2026-06-17,The Coat and the Ticket,6,,
