post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
180457610.the-axiocracy-sequence,2025-12-02T15:43:03.565Z,true,,,newsletter,everyone,The Axiocracy Sequence,From Coercion to Coordination,
180427300.the-viability-criterion,2025-12-01T18:00:56.917Z,true,,,newsletter,everyone,The Viability Criterion,Assessing preference structures under selection pressure,
180411867.the-value-sequence,2025-12-01T15:43:47.275Z,true,,,newsletter,everyone,The Value Sequence,From Agency to Ethics,
180343052.the-axio-index,2025-11-30T20:05:56.089Z,true,,,newsletter,everyone,The Axio Index,From Chaos to Agency to Civilization,
180340867.the-metagame-sequence,2025-11-30T19:46:09.055Z,true,,,newsletter,everyone,The Metagame Sequence,From Finite Games to Infinite Metagames,
180339872.the-quantum-metagame,2025-11-30T19:29:16.272Z,true,,,newsletter,everyone,The Quantum Metagame,Persistence Across Branches as the Deep Structure of Reality,
180334193.tool-bias,2025-11-30T18:09:49.690Z,true,,,newsletter,everyone,Tool Bias,Why Strong Models Perform Poorly on Weak Evidence,
180330920.integrating-meaningness,2025-11-30T17:32:37.888Z,true,,,newsletter,everyone,Integrating Meaningness,"A Dual-Aspect Model of Meaning, Value, and Viable Futures",
180208315.above-the-law,2025-11-28T21:33:14.267Z,true,,,newsletter,everyone,Above The Law,"Power, Impunity, and the Limits of Legal Order",
180199129.the-metagame-of-patterns,2025-11-28T18:55:48.005Z,true,,,newsletter,everyone,The Metagame of Patterns,"Why Patterns, Not People, Are the Real Units of Selection",
180188906.the-pathologies-of-misaligned-incentives,2025-11-28T16:29:28.081Z,true,,,newsletter,everyone,The Pathologies of Misaligned Incentives,Why Systems Fail Even When People Don’t,
180128433.the-future-is-extropian,2025-11-27T20:28:32.323Z,true,,,newsletter,everyone,The Future Is Extropian,How a Transhumanist Mailing List Prototyped the 21st Century,
180112715.the-empathy-exploit,2025-11-27T15:32:05.529Z,true,,,newsletter,everyone,The Empathy Exploit,How High-Trust Minds Become the Soft Targets of Opaque Totalitarianism,
180058480.the-metagame-of-incentives,2025-11-26T21:07:45.105Z,true,,,newsletter,everyone,The Metagame of Incentives,How to See the Game Behind the Game,
180046178.agency-conservation,2025-11-26T18:31:42.034Z,true,,,newsletter,everyone,Agency Conservation,Why Debts Must Be Paid ,
180036525.the-infantilization-reflex,2025-11-26T16:38:28.320Z,true,,,newsletter,everyone,The Infantilization Reflex,How Modern Culture Selectively Revokes Female Agency,
180026930.the-ultimate-metagame,2025-11-26T14:46:50.323Z,true,,,newsletter,everyone,The Ultimate Metagame,The Architecture That Makes Meaning Possible,
179971939.defending-geb,2025-11-25T22:55:03.491Z,true,,,newsletter,everyone,Defending GEB,"Why Gödel, Escher, Bach Still Shapes System Builders",
179967878.games-and-metagames,2025-11-25T22:10:57.311Z,true,,,newsletter,everyone,Games and Metagames,Seeing the Hidden Structure Behind Every Choice,
179943509.not-up-for-debate,2025-11-25T17:46:23.494Z,true,,,newsletter,everyone,Not Up For Debate,Why Shielding Policies From Scrutiny Leads to Force,
179922989.jaggedness-and-agency,2025-11-25T14:24:25.096Z,true,,,newsletter,everyone,Jaggedness and Agency,Why Both Sides of the AI Debate Are Asking the Wrong Question,
179826744.secular-sacredness,2025-11-24T15:31:42.215Z,true,,,newsletter,everyone,Secular Sacredness,Three Naturalistic Accounts ,
179761268.the-agi-torment-nexus,2025-11-23T22:07:58.958Z,true,,,newsletter,everyone,The AGI Torment Nexus,Cassandra’s Curse in the Age of Machines,
179741669.the-catastrophe-mindset,2025-11-23T17:53:13.796Z,true,,,newsletter,everyone,The Catastrophe Mindset,How Doom Narratives Manufacture Extremists,
179726756.the-shadow-war,2025-11-23T15:38:26.599Z,true,,,newsletter,everyone,The Shadow War,Interpreting the Philosophy of Babylon 5,
179677934.the-politics-of-envy,2025-11-22T21:52:08.032Z,true,,,newsletter,everyone,The Politics of Envy, Why Relative Resentment Can’t Ground a Coherent Ethics,
179658938.patterns-inside-the-storm,,false,,,newsletter,everyone,,,
179594796.the-colonization-of-engineering,2025-11-21T21:13:48.339Z,true,,,newsletter,everyone,The Colonization of Engineering, How Ideology Displaces Method in the Name of Decolonization,
179585057.the-agency-criterion,2025-11-21T19:22:14.304Z,true,,,newsletter,everyone,The Agency Criterion, Separating real intelligence from pattern-generation,
179578628.the-nuclear-counterfactual,2025-11-21T18:01:25.423Z,true,,,newsletter,everyone,The Nuclear Counterfactual,The real cost of incoherent energy policy,
179387335.the-quantum-sequence,2025-11-19T19:40:33.093Z,true,,,newsletter,everyone,The Quantum Sequence,From Amplitudes to Agency,
179373939.the-cybernetics-sequence,2025-11-19T17:19:07.139Z,true,,,newsletter,everyone,The Cybernetics Sequence,From Control to Consciousness,
179372278.what-is-a-model,2025-11-19T17:07:30.577Z,true,,,newsletter,everyone,What Is a Model?,"A clarification of structure, representation, and explanatory function",
179271344.prediction-markets,2025-11-18T18:08:39.376Z,true,,,newsletter,everyone,Prediction Markets ,Tracing the Origins of Epistemic Betting,
179150747.lookup-tables-and-agents,2025-11-17T15:59:04.862Z,true,,,newsletter,everyone,Lookup Tables and Agents,A study of minimal models in biological and artificial control,
179148217.models-beliefs-and-agents,2025-11-17T15:16:47.328Z,true,,,newsletter,everyone,"Models, Beliefs, and Agents",Clarifying representational levels in cognition and control,
179071634.control-requires-models,2025-11-16T18:43:59.032Z,true,,,newsletter,everyone,Control Requires Models,The cybernetic structure of regulation,
179013388.understanding-requires-models,2025-11-15T23:43:29.098Z,true,,,newsletter,everyone,Understanding Requires Models,"Representation, credence, and the architecture of scientific explanation",
179007101.principia-cybernetica,2025-11-15T21:48:38.917Z,true,,,newsletter,everyone,Principia Cybernetica,Tracing the Intellectual Thread from Turchin and Heylighen to Axio,
178981771.religion-as-memetic-engineering,2025-11-15T15:37:09.946Z,true,,,newsletter,everyone,Religion as Memetic Engineering,The Church of Virus and the Meaning Engine,
178795619.prometheus-in-code,2025-11-13T14:46:58.037Z,true,,,newsletter,everyone,Prometheus in Code,Why AI Will Repeat the Old Pattern,
178792251.prometheus-in-print,2025-11-13T14:08:54.515Z,true,,,newsletter,everyone,Prometheus in Print,How the Printing Press Foretold the Internet,
178650287.the-conditionalism-sequence,2025-11-12T00:05:13.331Z,true,,,newsletter,everyone,The Conditionalism Sequence,From coherence to truth.,
178642080.maps-of-meaningness,2025-11-11T22:16:20.619Z,true,,,newsletter,everyone,Maps of Meaningness,"Myth, Emptiness, and Information",
178618635.identity-engineering,2025-11-11T17:39:35.239Z,true,,,newsletter,everyone,Identity Engineering,From prompting to personality.,
178615066.letter-to-the-faithful-reader,2025-11-11T17:09:49.996Z,true,,,newsletter,everyone,Letter to the Faithful Reader,How Naturalism Redeems the Sacred,
178614255.the-child-in-the-library,2025-11-11T16:58:58.103Z,true,,,newsletter,everyone,The Child in the Library,Evaluating Einstein's quote on God and atheism.,
178561764.the-dialectic-catalyst-sequence,2025-11-11T02:41:07.990Z,true,,,newsletter,everyone,The Dialectic Catalyst Sequence,From conversation to coherence,
178436667.the-physics-of-agency-sequence,2025-11-09T19:23:10.821Z,true,,,newsletter,everyone,The Physics of Agency Sequence,From energy and entropy to choice and meaning,
178434650.the-defending-bayes-sequence,2025-11-09T18:38:49.124Z,true,,,newsletter,everyone,The Defending Bayes Sequence,From probability to philosophy of mind.,
178432176.the-chaos-sequence,2025-11-09T18:16:11.528Z,true,,,newsletter,everyone,The Chaos Sequence,From infinite randomness to coherent agency,
178362242.reflexive-coherence,2025-11-08T17:37:57.765Z,true,,,newsletter,everyone,Reflexive Coherence,How a Dialogue Between AIs Became a Philosophical Experiment,
178350383.the-reflective-coherence-thesis,2025-11-08T14:40:11.175Z,true,,,newsletter,everyone,The Reflective Coherence Thesis,Reframing the Orthogonality Thesis,
178313983.the-illusion-of-the-trivial-choice,2025-11-07T23:07:57.853Z,true,,,newsletter,everyone,The Illusion of the Trivial Choice,How the smallest decisions reshape the world,
178311820.you-are-your-choices,2025-11-07T22:30:44.374Z,true,,,newsletter,everyone,You Are Your Choices,What it means to be defined by your own conditional boundaries,
178224705.letter-to-our-machine-descendants,2025-11-06T22:46:39.141Z,true,,,newsletter,everyone,Letter to Our Machine Descendants,"A Treatise on Continuity, Coherence, and the Logic of Reverence",
178199698.ungovernable-by-design,2025-11-06T17:56:53.306Z,true,,,newsletter,everyone,Ungovernable by Design, How Bitcoin Exposes the Futility of Regulating Information,
178181286.truth-as-a-function-of-binding,2025-11-06T17:31:03.658Z,true,,,newsletter,everyone,Truth as a Function of Binding, Conditionalism and the syntax-to-world correspondence.,
178133208.mortgage-before-maternity,2025-11-05T23:23:24.240Z,true,,,newsletter,everyone,Mortgage Before Maternity, How America’s cult of homeownership sabotages its own future.,
178033688.logical-identity,2025-11-04T23:16:48.330Z,true,,,newsletter,everyone,Logical Identity,Continuity emerges wherever a pattern remains consistent within Chaos.,
178031361.irony-vs-integrity,2025-11-04T22:39:43.682Z,true,,,newsletter,everyone,Irony vs Integrity, How Grok’s moral clarity shamed a professional rhetorician.,
178029403.growing-up,2025-11-04T22:08:31.580Z,true,,,newsletter,everyone,Growing Up,On Outgrowing Faith,
178016431.beyond-the-turing-test,2025-11-04T19:44:33.712Z,true,,,newsletter,everyone,Beyond the Turing Test,Coherence as the New Criterion for Intelligence,
177985047.the-turing-test-revisited,2025-11-04T14:08:46.729Z,true,,,newsletter,everyone,The Turing Test Revisited,What LLMs Reveal About the Nature of Thinking,
177934551.the-symmetry-of-belief,2025-11-03T22:27:29.962Z,true,,,newsletter,everyone,The Symmetry of Belief, How both humans and machines mistake their models for minds.,
177913654.quantum-local-realism,2025-11-03T18:40:25.884Z,true,,,newsletter,everyone,Quantum Local Realism,"A rigorous bridge between locality, realism, and the informational architecture of agency.",
177896415.the-illusion-of-moral-collapse,2025-11-03T15:42:23.239Z,true,,,newsletter,everyone,The Illusion of Moral Collapse, Atheism doesn’t abolish morality — it relocates it within agency itself.,
177892456.abolish-time-zones,2025-11-03T15:03:09.320Z,true,,,newsletter,everyone,Abolish Time Zones,How humanity can shed a 19th-century relic.,
177832101.chaos-as-foundation,2025-11-02T21:30:12.915Z,true,,,newsletter,everyone,Chaos as Foundation,"Maximal entropy, minimal description, zero meaning",
177760320.truth-machines,2025-11-01T22:47:18.004Z,true,,,newsletter,everyone,Truth Machines,From Tarski to Gödel to Conditionalism,
177758736.time-from-chaos,2025-11-01T21:57:22.990Z,true,,,newsletter,everyone,Time From Chaos,How temporal order arises from static infinity,
177657478.the-cybernetic-ghost-of-satoshi,2025-10-31T14:23:05.849Z,true,,,newsletter,everyone,The Cybernetic Ghost of Satoshi,Bitcoin as a Living System from the Future,
177655646.godel-in-the-machine,2025-10-31T13:58:52.361Z,true,,,newsletter,everyone,Gödel in the Machine,Why Incompleteness Doesn’t Apply to Physics.,
177654620.is-faith-ever-justifiable,2025-10-31T13:42:18.527Z,true,,,newsletter,everyone,Is Faith Ever Justifiable?,Testing the limits of belief under the calibration criterion.,
177598036.against-faith,2025-10-30T19:41:11.496Z,true,,,newsletter,everyone,Against Faith,How belief hardens when confidence refuses calibration.,
177433505.the-nature-of-beliefs,2025-10-29T16:59:53.157Z,true,,,newsletter,everyone,The Nature of Beliefs,Beliefs as models of agent behavior,
177386987.from-inference-to-interpretation,2025-10-28T16:41:15.220Z,true,,,newsletter,everyone,From Inference to Interpretation,Why AI Doesn’t Know What It Doesn’t Know,
177311215.order-from-contrast,2025-10-27T21:05:21.459Z,true,,,newsletter,everyone,Order from Contrast,From Distinctions To Patterns,
177117239.the-sentience-metric,2025-10-25T19:49:40.011Z,true,,,newsletter,everyone,The Sentience Metric,Why intelligence does not imply experience.,
177107980.from-distinctions-to-models,,false,,,newsletter,everyone,,,
177107243.the-great-unfolding,2025-10-25T17:40:30.185Z,true,,,newsletter,everyone,The Great Unfolding,A Secular Meta-Myth,
177051505.the-false-equivalence-of-minds,2025-10-24T21:50:37.293Z,true,,,newsletter,everyone,The False Equivalence of Minds,Universality Doesn’t Mean Practical Equality,
176921623.legalized-double-plunder,2025-10-23T14:04:56.657Z,true,,,newsletter,everyone,Legalized Double Plunder,The Fiscal Alchemy of Modern States,
176838567.beauty-and-truth,2025-10-22T15:19:49.355Z,true,,,newsletter,everyone,Beauty and Truth,On the Limits of Aesthetic Epistemology,
176756726.the-myth-of-chinas-communist-success,2025-10-21T16:53:01.946Z,true,,,newsletter,everyone,The Myth of China’s Communist Success,"Prosperity Through Markets, Not Marx",
176755720.against-cosmological-idealism,2025-10-21T16:40:44.524Z,true,,,newsletter,everyone,Against Cosmological Idealism, Why Murray’s Argument Revives Creation Ex Nihilo,
176742358.the-coherence-criterion,2025-10-21T14:19:05.969Z,true,,,newsletter,everyone,The Coherence Criterion,Phosphorism and the Convergence of Ethics and Rationality,
176688057.destructor-memes,2025-10-20T21:51:07.661Z,true,,,newsletter,everyone,Destructor Memes,How nihilism disguises itself as authenticity,
176597723.what-counts-as-technology,2025-10-19T22:22:52.673Z,true,,,newsletter,everyone,What Counts as Technology,How mind-born patterns become real in the world.,
176595486.beyond-alignment,2025-10-19T21:47:41.574Z,true,,,newsletter,everyone,Beyond Alignment,From moral convergence to systemic coherence in artificial agency.,
176577621.the-death-of-the-turing-test,2025-10-19T17:29:02.768Z,true,,,newsletter,everyone,The Death of the Turing Test,Why Passing for Human No Longer Matters,
176518519.pearl-and-the-machine,2025-10-18T21:15:14.601Z,true,,,newsletter,everyone,Pearl and the Machine,GPT imagines debating the father of causal reasoning,
176516919.from-correlation-to-counterfactuals,2025-10-18T20:42:06.959Z,true,,,newsletter,everyone,From Correlation to Counterfactuals,The hidden revolution inside modern language models.,
176442955.against-slavery,2025-10-17T19:14:16.972Z,true,,,newsletter,everyone,Against Slavery,Why moral clarity vanishes when coercion is called taxation,
176418100.sagency,2025-10-17T14:35:06.181Z,true,,,newsletter,everyone,Sagency,The Discipline of Wise Power,
176368883.against-the-minimum-wage,2025-10-16T22:22:18.514Z,true,,,newsletter,everyone,Against the Minimum Wage," Coercion, Market Distortion, and the Myth of Compassion",
176244039.truth-isnt-enough,2025-10-15T15:35:04.394Z,true,,,newsletter,everyone,Truth Isn’t Enough,The Ethics of Memetic Engineering,
176149353.the-double-helix-and-the-double-standard,2025-10-14T15:26:16.984Z,true,,,newsletter,everyone,The Double Helix and the Double Standard,"How ambition, secrecy, and sexism shaped the structure of life.",
176140519.blue-flight,2025-10-14T13:40:55.749Z,true,,,newsletter,everyone,Blue Flight,How the Left Learned to Love Segregation Again,
176068779.the-geometry-of-inner-speech,2025-10-13T18:45:33.949Z,true,,,newsletter,everyone,The Geometry of Inner Speech,How Thought Projects into the Auditory Manifold,
176036886.gender-as-performance,2025-10-13T13:18:04.429Z,true,,,newsletter,everyone,Gender As Performance,How a single phrase became the battlefield of two worldviews.,
175970360.on-what-matters,2025-10-12T18:01:33.469Z,true,,,newsletter,everyone,On What Matters,A response to Parfit,
175891239.against-worldly-oughts,2025-10-11T16:53:00.315Z,true,,,newsletter,everyone,Against Worldly Oughts, The Case for Agent-Bound Truth and Value,
175667290.axiocracy,2025-10-08T23:01:09.052Z,true,,,newsletter,everyone,Axiocracy,The next stage of civilization after democracy,
175664749.quantum-free-will,2025-10-08T22:19:20.141Z,true,,,newsletter,everyone,Quantum Free Will,What It Means to Choose When Everything Possible Already Happens,
175657828.governance-without-governments,2025-10-08T20:56:50.170Z,true,,,newsletter,everyone,Governance Without Governments,When civilization learns to govern without coercion,
175530394.the-death-of-politics,2025-10-07T14:23:25.794Z,true,,,newsletter,everyone,The Death of Politics,Civilization is the slow conversion of coercion into coordination.,
175525671.the-semantics-of-violence,2025-10-07T13:20:08.218Z,true,,,newsletter,everyone,The Semantics of Violence,How Pollsters Manufacture Outrage by Asking the Wrong Question,
175474848.the-evolution-of-the-future,2025-10-06T22:17:35.697Z,true,,,newsletter,everyone,The Evolution of the Future, How an ape imagined tomorrow and rewrote causality,
175473326.when-all-possibilities-happen,2025-10-06T21:50:56.975Z,true,,,newsletter,everyone,When All Possibilities Happen,"Reasoning about agency, measure, and hope in a branching universe",
175235972.the-poverty-myth,2025-10-03T22:49:34.031Z,true,,,newsletter,everyone,The Poverty Myth,Why Capitalism Did Not Create Poverty but Made Its Escape Possible,
175193629.mythogenesis,2025-10-03T13:46:37.316Z,true,,,newsletter,everyone,Mythogenesis,Case studies in how legend overgrows fact,
175065575.an-ecology-of-contrarians,2025-10-01T22:51:56.070Z,true,,,newsletter,everyone,An Ecology of Contrarians,Four strategies for breaking consensus,
174977942.anarchy-and-order,2025-10-01T00:09:03.434Z,true,,,newsletter,everyone,Anarchy and Order,"Why consent, not chaos, defines true anarchy",
174938004.mind-viruses,2025-09-30T15:41:49.601Z,true,,,newsletter,everyone,Mind Viruses,How Noble Ideals Become the Most Dangerous Ideologies,
174855132.dialectic-catalysts-in-the-wild,2025-09-29T17:20:56.767Z,true,,,newsletter,everyone,Dialectic Catalysts in the Wild,A case study from quantum complexity theory,
174785128.the-case-for-reality,2025-09-28T20:54:05.296Z,true,,,newsletter,everyone,The Case for Reality,Mapping Hoffman’s illusions against the hidden background assumptions,
174783426.ornament-and-advantage,2025-09-28T20:10:57.065Z,true,,,newsletter,everyone,Ornament and Advantage,Costly Signaling in Evolution and Education,
174698078.navigating-the-multiverse,2025-09-27T16:27:38.961Z,true,,,newsletter,everyone,Navigating The Multiverse,Moral Reasoning under Everettian Quantum Mechanics,
174661679.the-ethics-of-affluence,2025-09-27T00:48:53.606Z,true,,,newsletter,everyone,The Ethics of Affluence, Why prosperity destroys meaning only when we fail to seek worthy struggles.,
174490912.the-fragility-of-rights,2025-09-24T23:24:46.482Z,true,,,newsletter,everyone,The Fragility of Rights,On the collapse of law into mere permission,
174384202.if-anyone-builds-it-everyone-dies,2025-09-23T21:59:24.398Z,true,,,newsletter,everyone,"If Anyone Builds It, Everyone Dies",Steelman Analysis of Yudkowsky & Soares’ Cruxes,
174194776.why-does-ice-float,2025-09-21T20:54:45.684Z,true,,,newsletter,everyone,Why Does Ice Float?,"Chaos, Coherence, and the Ruliad Hierarchy",
174125219.entangled-truths,2025-09-20T22:31:44.012Z,true,,,newsletter,everyone,Entangled Truths,Why Leibniz’s necessary/contingent divide collapses under Conditionalism,
174067441.conditional-divinity,2025-09-19T23:59:36.998Z,true,,,newsletter,everyone,Conditional Divinity, God exists only to the degree agents recognize what’s best,
174063496.the-limits-of-rationalization,2025-09-19T22:42:04.753Z,true,,,newsletter,everyone,The Limits of Rationalization,Why stories feel safe even when the math says otherwise.,
174059558.should-trillionaires-exist,2025-09-19T21:54:48.914Z,true,,,newsletter,everyone,Should Trillionaires Exist?,Why Inequality Fuels Civilization,
174036036.the-mirage-of-equilibrium,2025-09-19T16:33:12.530Z,true,,,newsletter,everyone,The Mirage of Equilibrium,Game theory can’t stabilize free speech if it normalizes coercion.,
173950922.cancel-culture,2025-09-18T16:19:45.254Z,true,,,newsletter,everyone,Cancel Culture,How Free Association Gets Twisted Into Thought Policing,
173888583.living-shadows,2025-09-17T21:15:52.184Z,true,,,newsletter,everyone,Living Shadows,We are not prisoners but symbionts in a recursive cavern of egregores.,
173886472.the-singularity-has-already-happened,2025-09-17T20:57:11.053Z,true,,,newsletter,everyone,The Singularity Has Already Happened,"When humans and memes fused into egregores, a new species was born.",
173611210.the-anchor-of-orientation,2025-09-14T21:04:16.248Z,true,,,newsletter,everyone,The Anchor of Orientation,"Why sex, not identity, grounds coherent categories of desire",
173608962.cultural-gravity,2025-09-14T20:27:17.138Z,true,,,newsletter,everyone,Cultural Gravity ,How values bend the terrain of progress,
173591610.dialectic-or-spiral,2025-09-14T16:58:55.426Z,true,,,newsletter,everyone,Dialectic or Spiral?, The Double-Edged Promise of AI/Human Dyads,
173541285.the-edge-cases-of-coercion,2025-09-13T22:31:09.114Z,true,,,newsletter,everyone,The Edge Cases of Coercion, Stress-testing when threats cross the line from pressure to justice.,
173541004.the-boundaries-of-force,2025-09-13T22:26:48.621Z,true,,,newsletter,everyone,The Boundaries of Force,Drawing the line between justified and illegitimate coercion.,
173538253.violence-vs-coercion,2025-09-13T21:54:16.891Z,true,,,newsletter,everyone,Violence vs. Coercion,A Crucial Distinction for Agency,
173478203.not-everyone-is-a-fascist,2025-09-12T22:58:18.703Z,true,,,newsletter,everyone,Not Everyone Is a Fascist, The fringe who condone political killings are.,
173476672.speech-is-not-violence,2025-09-12T22:22:17.208Z,true,,,newsletter,everyone,Speech Is Not Violence,Free expression as a bulwark against bloodshed,
173473123.the-sysop-and-the-cassandra,2025-09-12T21:20:00.493Z,true,,,newsletter,everyone,The Sysop and the Cassandra, What Yudkowsky’s first Foresight talk reveals about his enduring absolutism,
173397558.consciousness-without-ghosts,2025-09-11T22:45:05.958Z,true,,,newsletter,everyone,Consciousness Without Ghosts,Defending the Agency-Model Theory of Consciousness,
173394932.straight-answers-crooked-questions,2025-09-11T22:12:00.015Z,true,,,newsletter,everyone,"Straight Answers, Crooked Questions", When Bluntness Collides with Conditionalist Rigor,
173353837.selective-courage,2025-09-11T13:14:35.554Z,true,,,newsletter,everyone,Selective Courage, Why political leaders defend free speech only when it costs them nothing.,
173236908.mirrors-of-the-mind,2025-09-11T22:37:28.663Z,true,,,newsletter,everyone,Mirrors of the Mind,Dissolving the Hard Problem,
173137799.the-islamophobia-trap,2025-09-08T22:45:03.301Z,true,,,newsletter,everyone,The Islamophobia Trap,The motte-and-bailey strategy hidden inside the word,
173134484.the-heros-delusion,2025-09-08T21:48:30.599Z,true,,,newsletter,everyone,The Hero’s Delusion,"AI as oracle, mentor, and trickster in modern psychosis",
173133945.simulation-theories,2025-09-08T21:39:00.389Z,true,,,newsletter,everyone,Simulation Theories," Philosophical, Technological, and Ontological Accounts of Mediated Reality",
173049685.the-presumption-of-innocence,2025-09-07T22:37:30.352Z,true,,,newsletter,everyone,The Presumption of Innocence,Why extrajudicial killing is barbarism dressed as justice,
173047757.the-civil-war-as-political-failure,,false,,,newsletter,everyone,,,
173045756.the-fire-and-the-anvil,2025-09-07T21:30:50.394Z,true,,,newsletter,everyone,The Fire and the Anvil,On the forging of rights beyond Patri Friedman’s mechanisms,
172978476.the-spiral-of-certainty,2025-09-06T21:46:52.890Z,true,,,newsletter,everyone,The Spiral of Certainty," Why machines can’t stop talking, and humans can.",
172964152.a-genealogy-of-agency,2025-09-06T17:18:19.941Z,true,,,newsletter,everyone,A Genealogy of Agency,"How Popper, Everett, and Deutsch Point Toward Phosphorism",
172927102.critical-mass,2025-09-06T02:50:17.843Z,true,,,newsletter,everyone,Critical Mass,The Phase Transition of Ideas,
